"dateAndTime","name","eventCode"
"2019-05-08 14:47:46","cup",0
"2019-05-08 14:48:22","cup",1
"2019-05-08 14:48:27","cup",0
"2019-05-08 14:48:44","cup",1
"2019-05-08 14:48:49","cup",0
"2019-05-08 14:49:21","cup",1
"2019-05-08 14:49:27","cup",0
"2019-05-08 14:49:44","cup",1
"2019-05-08 14:49:49","cup",0
"2019-05-08 14:50:22","cup",1
"2019-05-08 14:50:27","cup",0
"2019-05-08 14:50:58","cup",1
"2019-05-08 14:51:02","cup",0
"2019-05-08 14:51:28","cup",1
"2019-05-08 14:51:33","cup",0
"2019-05-08 14:51:51","cup",1
"2019-05-08 14:51:55","cup",0
"2019-05-08 14:52:11","cup",1
"2019-05-08 14:52:16","cup",0
"2019-05-08 14:52:34","cup",1
"2019-05-08 14:52:39","cup",0
"2019-05-08 14:52:57","cup",1
"2019-05-08 14:53:02","cup",0
"2019-05-08 14:53:21","cup",1
"2019-05-08 14:53:25","cup",0
"2019-05-08 14:53:51","cup",1
"2019-05-08 14:53:56","cup",0
"2019-05-08 14:54:15","cup",1
"2019-05-08 14:54:19","cup",0
"2019-05-08 14:54:32","cup",1
"2019-05-08 14:54:37","cup",0
"2019-05-08 14:54:52","cup",1
"2019-05-08 14:54:57","cup",0
"2019-05-08 14:55:00","cup",1
"2019-05-08 14:55:07","cup",0
"2019-05-08 14:55:12","door",1
"2019-05-08 14:55:16","door",0
"2019-05-08 14:55:37","door",1
"2019-05-08 14:55:43","cup",1
"2019-05-08 14:56:56","cup",0
"2019-05-08 14:57:02","cup",1
"2019-05-08 14:57:06","cup",0
"2019-05-08 14:57:16","cup",1
"2019-05-08 14:57:27","cup",0
"2019-05-08 14:57:31","cup",1
"2019-05-08 14:57:40","cup",0
"2019-05-08 14:57:42","cup",1
"2019-05-08 14:57:45","cupboard4",1
"2019-05-08 14:57:46","cup",0
"2019-05-08 14:57:49","cupboard4",0
"2019-05-08 14:59:27","door",0
"2019-05-08 15:00:48","door",1
"2019-05-08 15:00:52","door",0
"2019-05-08 15:01:01","kettle",1
"2019-05-08 15:01:22","kettle",0
"2019-05-08 15:01:26","cupboard4",1
"2019-05-08 15:01:28","cup",1
"2019-05-08 15:01:31","cupboard4",0
"2019-05-08 15:01:33","cup",0
"2019-05-08 15:01:41","cupboard3",1
"2019-05-08 15:01:44","cupboard3",0
"2019-05-08 15:01:50","kettle",1
"2019-05-08 15:01:52","cup",1
"2019-05-08 15:02:03","kettle",0
"2019-05-08 15:02:16","cupboard2",1
"2019-05-08 15:02:19","cupboard2",0
"2019-05-08 15:02:35","cup",0
"2019-05-08 15:03:13","cup",1
"2019-05-08 15:03:23","cup",0
"2019-05-08 15:04:21","cup",1
"2019-05-08 15:04:28","cup",0
"2019-05-08 15:06:10","cup",1
"2019-05-08 15:06:19","cup",0
"2019-05-08 15:08:40","cup",1
"2019-05-08 15:08:45","cup",0
"2019-05-08 15:10:21","cup",1
"2019-05-08 15:10:26","cup",0
"2019-05-08 15:10:46","cup",1
"2019-05-08 15:10:55","cup",0
"2019-05-08 15:11:00","door",1
"2019-05-08 15:11:04","door",0
"2019-05-08 15:11:55","door",1
